SubjectID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x12,x14,x16,x17,L_d1,L_d2,L_d3,L_d4,L_d5,L_d6,L_d7,L_d8,L_d9,L_d10,L_theta1,L_theta2,R_d1,R_d2,R_d3,R_d4,R_d5,R_d6,R_d7,R_d8,R_d9,R_d10,R_theta1,R_theta2
62,15.2933,19.6501,19.6949,0.2961,0.0149,11.6878,8.0025,11.7446,33.9,49.6,177.1,55.7,107.3,1.7191,0.9265,1.8507,2.2303,6.1746,3.0439,0.38,0.89,1.07,0.27,14.3947,20.4438,1.7868,0.9435,1.7626,2.2424,6.2139,3.0445,0.38,0.9,1.15,0.27,17.1477,18.4787
63,14.3791,19.7884,19.4346,0.0674,0.484,10.0365,5.3554,9.6856,27,45,158.5,55.5,96.7,1.5124,0.9148,1.7923,1.3375,4.9783,2.7462,0.46,1.001,1.26,0.21,7.3119,18.5086,1.4559,1.0391,1.7505,1.395,5.0187,2.6798,0.46,1.04,1.3,0.21,5.459,28.4195
64,14.8169,19.1064,19.5618,0.4183,0.9413,11.4596,7.7352,11.0129,33.3,51.8,167,54.8,111.8,1.7111,0.7664,1.6669,2.1602,6.0957,2.9625,0.52,1.2,1.17,0.25,17.2967,19.0819,1.7403,0.7594,1.6647,2.2259,6.0008,2.8832,0.52,1.2,1.2,0.25,17.5877,21.9967
65,14.6067,21.2647,20.3461,0.1169,0.6747,11.4202,7.3677,10.4839,31.4,52.5,187.3,56.4,112.4,1.6293,0.9481,1.9137,2.2247,5.7753,3.1558,0.69,1.25,1.32,0.31,4.4307,16.7661,1.7165,1.1381,1.7315,2.1053,5.6797,3.2515,0.69,1.27,1.32,0.31,3.9907,16.8647
66,15.2775,22.4289,21.9746,0.2998,0.0226,12.7108,6.478,13.7339,34.3,53.6,184,59.5,120.2,2.0343,0.9336,1.4511,2.2259,6.5258,3.2549,0.49,0.99,1.11,0.34,7.3546,26.2669,1.9506,0.8917,1.3934,2.2939,6.5431,3.215,0.49,0.99,1.15,0.34,8.9512,31.9147
67,15.2548,21.7519,21.9734,0.0425,0.8616,11.8013,8.3525,11.9979,32.1,54.6,193.2,61.4,115.8,2.0847,0.9929,1.5302,2.2808,6.1982,3.3811,0.65,1.13,1.02,0.28,9.2536,25.3869,1.9704,1.016,1.8248,2.2715,6.2389,3.4584,0.65,1.13,1.04,0.28,8.8504,27.3793
68,15.2187,19.3257,19.5081,0.1884,0.1756,11.6998,6.05,12.7481,31.8,51.2,173.5,56,117.5,1.9948,1.0126,1.8452,2.5099,6.833,3.1096,0.66,1.44,1.47,0.31,5.7582,24.4418,1.9562,1.0761,1.8127,2.5709,6.873,3.0126,0.66,1.43,1.53,0.31,7.4307,34.6987
69,15.6175,20.8274,20.0022,0.1514,0.1148,11.9176,8.722,11.5466,34.6,52.9,176.4,57.3,117.8,1.7968,0.9256,1.7697,2.2631,6.4997,3.1547,0.59,1.24,1.27,0.28,3.4553,37.6615,1.8338,1.0162,1.4433,2.2483,6.3716,3.1785,0.59,1.25,1.25,0.28,8.3413,40.0684
70,15.1029,21.3549,20.3663,0.2223,0.0936,11.4107,7.6254,10.8139,32.7,55.2,189.9,55.9,110.9,1.7399,0.8243,1.7033,1.843,5.8674,2.9323,0.5,1.11,1.18,0.26,18.1376,17.6266,1.7182,0.9218,1.5425,1.8537,5.7484,2.9691,0.5,1.1,1.2,0.26,14.4409,21.7727
71,15.7501,21.6489,20.1014,0.3359,1.0137,12.3309,5.1906,13.1403,37.1,55.4,181.3,57.8,116.4,1.712,1.1477,1.7502,1.9562,6.4527,3.3754,0.97,1.18,1.28,0.36,9.496,28.7584,1.8089,1.0687,1.9732,2.0414,6.4456,3.5122,0.97,1.19,1.27,0.36,5.9015,34.3562
72,15.8365,21.0832,21.1959,0.3148,0.9423,12.8815,8.4371,9.1883,31.1,52,172.3,60,108.6,1.7605,1.013,1.6674,1.9822,5.9777,2.7237,0.36,1.14,1.18,0.36,10.6721,19.1683,1.8015,0.9784,1.5392,2.2713,5.9868,2.9373,0.36,1.14,1.19,0.36,7.4387,24.7701
